user,date,time,text
hittingnooks,2023-05-04,22:28:18,The best! #Vegas #Buffalo https://t.co/MC6RNaNVln
BillsNewsNow,2023-05-04,22:28:00,Bills get final OK from Erie County to build new stadium #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/ROW0yJhpgJ
BillsNewsNow,2023-05-04,22:21:01,Brandon Beane glad Josh Allen plans to be “a little bit smarter” when running this season #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/Gthx80rEM2
DreherBaseball,2023-05-04,22:20:17,Blue Devils have arrived @ Mike Johnson Park! LET’S GO!!! #HornsUp @dreherathletics @dreherbooster @DreherHigh https://t.co/4NhPDNq96b
LipscombXCTF,2023-05-04,22:18:42,"With no meets happening this weekend, our team is focused on the start of the ASUN Outdoor Championships in 7⃣ days❗️

#IntoTheStorm ⛈️ | #HornsUp🤘 https://t.co/XKHDPavRQt"
BillsNewsNow,2023-05-04,22:17:00,NFL: Carolina Panthers at Buffalo Bills #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/yEus8YMnwS
buffalobillsNW,2023-05-04,22:14:19,"JOSH ALLEN: History's First Billionaire Quarterback?  ➤ @buffalobills_2023 https://t.co/9OROW2Zpl8 via @YouTube 

#BuffaloBills #BillsNation #BillsMafia #GoBills #billsfans #YahooSports #YouTube #JoshAllen https://t.co/73T0fIGIW2"
BillsNewsNow,2023-05-04,22:06:00,Brandon Beane glad Josh Allen plans to be “a little bit smarter” when running this season #BuffaloBills #Buffalo #GoBills #BillsNation https://t.co/ENe2aQrPIq
TheTomasello,2023-05-04,21:56:07,I would love to show you my #listing at 64 Sagamore #Buffalo #NY  #realestate https://t.co/eRPWDAgVsP https://t.co/9Gn4vgfpPf
SabresSocialist,2023-05-04,21:39:19,*Buffalo has entered the chat. #Buffalo https://t.co/G1UioCZjlJ
tmj_NY_facmgmt,2023-05-04,21:37:44,"Can you recommend anyone for this #FacilitiesMgmt job in #Buffalo, NY? Click the link in our bio to see it and more. Facilities Systems Engineer I at Roswell Park Comprehensive Cancer Center"
itsrohitchouhan,2023-05-04,21:36:11,"N.F.L. Draft Picks 2023: All the Results From the First Round

#National #Arizona #Buffalo #Carolina #Chicago #Cleveland #Denver #Detroit #Green #Houston #Jacksonville #Kansas #Los #Miami #New #New #New #New #Philadelphia #Pittsburgh #San #Seattle https://t.co/iMwzCo8FUu"
wx_MikeDoyle,2023-05-04,21:26:17,"We still have a few spotty showers lingering this evening. They will slowly taper away tonight, and the clouds will continue to break! #Nywx #Buffalo @news4buffalo https://t.co/ZwQC5gBbAS"
BlassTw1,2023-05-04,21:21:20,"Lumberjack | Red and Green Buffalo Plaid Pattern | Christmas Red Pattern  by karolinapaz

https://t.co/zEbB9l8PVl 

 #Christmas #buffalo #case #christmas #design #geometric #geometrical https://t.co/Srsd91XoZI"
USFAthletics,2023-05-04,21:18:57,"Another weekend is upon us, which means @CayCayCottrell has the 411 of all that’s happened!

#HornsUp🤘 https://t.co/q8jCN0MRLV"
jenneccentric,2023-05-04,21:18:39,I trust him. #beanebeliever #billsmafia #buffalobills https://t.co/J9qLDIT7Nm
c_reynolds19,2023-05-04,21:02:22,"#BuffaloBills legend, @StevieJohnson13 will be coming to @BillsMafiaBabes, Gabby Kranock's hometown of Cuba, NY to help raise funds for her! Buy your tickets to her benefit now through this link 👇
https://t.co/ShBLvXIYHy

#BuffaloBills #GabbyStrong @jpfoundation21 @Rachel__Bush https://t.co/iXBW0Tk0Nk"
USFWGolf,2023-05-04,21:01:02,"Record-Setting USF Women’s Golf Team Set for NCAA Regional!

#HornsUp 🤘
https://t.co/7eqy6NSMcl"
LTUWLacrosse,2023-05-04,20:55:05,"ITS SEMI FINALS!

📍@ Blue Devils Stadium
⏰ @ 8:00 pm
☑️ Life University

#HORNSUP!! #DEVILDOWN! https://t.co/jKZ0Nqkkib"
rschrieber14,2023-05-04,20:51:57,Blessed to receive an offer from the University of Buffalo @UBFootball @RedHawkFB @EDGYTIM @Rivals_Clint @AllenTrieu @OLMafia @Rivals @247Sports #UBhornsUP https://t.co/qf1CG1UkWi
HFISD_Longhorns,2023-05-04,20:49:09,"or click this link https://t.co/dB7s7zQcqj and order your student's copy today for $95!

Deadline for purchasing HS Yearbook, Senior Ads and Business Ads is May 15th.
#WeAreHFISD #HornsUp"
IamFatimaRE,2023-05-04,20:46:24,@kroppandrea1 @SueBeeDexter @RealDeanCain @jodiekjodie @bjchris01 @krissykins_1 @PrincetonFTBL @BuffaloBills Representing @RealDeanCain through and through❤️💙🤍🧡🖤 Well a student called my #BuffaloBills poncho a Superman cape🥺🥺🥺 #SuperBills
USFMBB,2023-05-04,20:43:09,"𝐁𝐮𝐥𝐥𝐬 𝐍𝐚𝐭𝐢𝐨𝐧,
Help us officially welcome @Youngbloo2Chris to the Bay! 🏝️

#HornsUp🤘 | #BONE https://t.co/pO0tnNtBRP"
20BloodRecords,2023-05-04,20:37:41,"PINK ELEPHANT DAYS!!!
@mohawkplace @Clamfight
#livemusic #buffalo #headbanger https://t.co/ggIp3kQSjV"
premiergourmet,2023-05-04,20:31:33,"New and noteworthy at Premier Gourmet! Stop in to try something new from our selection of over 2,000 craft beers🍻  #craftbeer #beer #buffalo #nysbeer https://t.co/zfdrMCnvNn"
UBAthletics,2023-05-04,20:28:12,"May the 4th be with you 🤘

#UBhornsUP https://t.co/jb6lN9L1YR"
BillsNewsNow,2023-05-04,20:21:00,https://t.co/yZJcMjHnSw: Bills earn 'A' grade for 2023 draft haul #BuffaloBillsFootball #BillsMafia #Buffalony #GoBills https://t.co/TrrAYNm8rr
LipscombBisons,2023-05-04,20:20:38,"𝑴𝒂𝒚 𝒕𝒉𝒆 𝟒𝒕𝒉 𝒃𝒆 𝒘𝒊𝒕𝒉 𝒚𝒐𝒖

#IntoTheStorm⛈️ | #HornsUp🤘 | #StarWarsDay https://t.co/l4zjsz4Q3q"
WNYMMAFitness,2023-05-04,20:18:23,Happy 4-year workiversary Harrison! #bjj #wnymma #teamwnymma #anniversary #buffalo https://t.co/ppuah5sLTb
BillsNewsNow,2023-05-04,20:16:02,https://t.co/yZJcMjHnSw: Bills earn ‘A’ grade for 2023 draft haul #BuffaloBills #Buffalo #GoBills #BillsNation #yahoo https://t.co/AU7r1SVcOO
candythomasgou1,2023-05-04,20:12:40,https://t.co/7O95ewON0R #buffalo #palmrattle #soundtherapy #etsyhandmade #etsyshop #EtsySocial
